kind,style_number,style_name,sheet_tier,odoo_status
"active_but_retired","V1120032","Vivo Lamu Knee Length Cold Shoulder Dress","Tier 2","['Retired']"
"active_but_retired","V0719006","Vivo Basic 3/4 Sleeve A-Line Maxi Dress","Tier 2","['Retired']"
"active_but_retired","V0621190","Vivo Basic Ayo Bishop Sleeve Dress","Tier 2","['Retired']"
"active_but_retired","V1021027","Vivo Lani Satin High Low Dress","Tier 2","['Retired']"
"active_but_retired","V1124156","Vivo Chari Shift Dress","Tier 2","['Retired']"
"active_but_retired","V1121104","Vivo Sana Asymmetrical Angel Sleeve Top","Tier 2","['Retired']"
"active_but_retired","V0423025","Vivo Tatili Drop Shoulder Cowl Top","Tier 2","['Retired']"
"active_but_retired","V1222332","Vivo Lumi Back Pleat Maxi Dress","Tier 2","['Retired']"
"active_but_retired","V0819101","Vivo Basic Dada Poncho","Tier 2","['Retired']"
"active_but_retired","V0121001","Vivo Basic Zola Belt","Tier 2","['Retired']"
"active_but_retired","V1019045","Vivo Basic Liv Chiffon Top","Tier 2","['Retired']"
"active_but_retired","V0322047","Vivo Dalia Off Shoulder Jumpsuit","Tier 2","['Retired']"
"active_but_retired","V0719222","Vivo Basic Cuffed Dolman Jersey Dress","Tier 2","['Retired']"
"active_but_retired","V0120094","Vivo Ayo Tent Dress","Tier 2","['Retired']"
"active_but_retired","V1019066","Vivo Basic Sleeveless Leila Bodycon Dress","Tier 2","['Retired']"
"active_but_retired","V0622008","Vivo Jema High Low Tent Dress","Tier 2","['Retired']"
"active_but_retired","Z0819158","Zoya Basic Sleeveless Bodysuit","Tier 2","['Retired']"
"active_but_retired","V0723038","Vivo Zena Shirred Waist Shirt Dress","Tier 2","['Retired']"
"active_but_retired","V0222097","Vivo Faraji Long Sleeve Jacket","Tier 2","['Retired']"
"active_but_retired","V0719693","Vivo Side Twist Dress","Tier 2","['Retired']"
"active_but_retired","V0223225","Vivo Basic Open Kaftan","Tier 2","['Active', 'Retired']"
"active_but_retired","S0425041","Shiv & Shikie X Safari Printed Short Sleeve Shirt","Tier 2","['Active', 'Retired']"
"active_but_retired","V1124142","Vivo Ava Front Pleat Knee Length Dress","Tier 2","['Active', 'Retired']"
"active_but_retired","RFS0125","Vivo Knee length Dress","Tier 2","['Active', 'Retired']"
"active_but_retired","VE0033P","Vivo Short Kimono","Tier 2","['Retired']"
"active_but_retired","Z0819065","Zoya Basic Tank Top","Tier 2","['Retired']"
"active_but_retired","VE0010B","Vivo Essentials Sleeveless One Shoulder Crop Top","Tier 2","['Retired']"
"active_but_retired","VE0057B","Vivo Nimali Satin Blouse","Tier 2","['Retired']"
"active_but_retired","V0720039","Vivo Knee Length Dress","Tier 2","['Retired']"
"active_but_retired","V0624006","Vivo Alora Round Neck Top","Tier 2","['Retired']"
"active_but_retired","V0224170","Vivo Kelemi Maxi Kaftan","Tier 2","['Retired']"
"active_but_retired","V2190004","Vivo Hijab","Tier 2","['Retired']"
"active_but_retired","V0725043","Vivo Tanda Loose Sweater","Tier 3","['Retired']"
"active_but_retired","V0924031","Vivo Lalani Lounge Pants","Tier 3","['Retired']"
"active_but_retired","V0724104","Vivo Hadiya Wrap Dress","Tier 3","['Retired']"
"active_but_retired","V1123047","Vivo Hanabi Wrap Maxi Dress","Tier 3","['Retired']"
"active_but_retired","V1123137","Vivo Sanali Batwing Tie Top","Tier 3","['Retired']"
"active_but_retired","V0825022","Vivo Ria Drop Shoulder Top","Tier 3","['Retired']"
"active_but_retired","V1024064","Vivo Basic Sleeveless Tent Kimono","Tier 3","['Retired']"
"active_but_retired","V0226005","Vivo Liora Scooped Neck Tank Top in Crepe","Tier 3","['Retired']"
"active_but_retired","V0125033","Vivo Yene Front Tie Tunic Top","Tier 3","['Retired']"
"active_but_retired","V1124145","Vivo Meli Puff Sleeve Shift Dress","Tier 3","['Retired']"
"active_but_retired","V0925030","Vivo Anavi Runched Tank Top","Tier 3","['Retired']"
"active_but_retired","S1124112","Safari Sizani Barrel Pants","Tier 3","['Retired']"
"active_but_retired","V0625030","Vivo Aleri Coat","Tier 3","['Retired']"
"active_but_retired","V0725020","Vivo Nuru Maxi Kimono","Tier 3","['Retired']"
"active_but_retired","V1025038","Vivo Rayon Jersey Slip Dress","Tier 3","['Retired']"
"active_but_retired","V0126024","Vivo Boat Neck Top in Scuba","Tier 3","['Retired']"
"active_but_retired","V0825014","Vivo Nora Front Pleat Knee Length Dress","Tier 3","['Retired']"
"active_but_retired","S1025031","Safari Tafari Wrap Top","Tier 3","['Retired']"
"active_but_retired","V0425056","Vivo Diella 3/4 Sleeve A-Line Dress","Tier 3","['Retired']"
"active_but_retired","V0825060","Vivo Alma Short Sleeve Mini Bodycon","Tier 3","['Retired']"
"active_but_retired","V1125006","Vivo Lulu Cotton Barrel Pants","Tier 3","['Retired']"
"active_but_retired","V0825009","Vivo Nora 3/4 Sleeve Peplum Top","Tier 3","['Retired']"
"active_but_retired","REO2260","Vivo Drop Shoulder Shirt in Organza","Tier 3","['Retired']"
"active_but_retired","V1225012","Vivo Studio Mini Pencil Skirt in Ponte","Tier 3","['Retired']"
"active_but_retired","V0925018","Vivo Zelda Panelled Dress In Crepe","Tier 3","['Retired']"
"active_but_retired","V0325007","Vivo Safa Skirt","Tier 3","['Retired']"
"active_but_retired","S1023060","Safari Zene Off Shoulder Top","Tier 3","['Retired']"
"active_but_retired","S0522015","Safari Kaya Long Sleeve Collar Shirt","Tier 3","['Retired']"
"active_but_retired","S0223186","Safari Kaya Long Sleeve Shirt Dress","Tier 3","['Retired']"
"active_but_retired","S1023064","Safari Zene High Low Shirt Dress","Tier 3","['Retired']"
"active_but_retired","S0322128","Safari Tawi Off Shoulder Knee Length Dress","Tier 3","['Retired']"
"active_but_retired","S0322133","Safari Tawi Bishop Sleeve Tiered Dress","Tier 3","['Retired']"
"active_but_retired","V0126037","Vivo Basic Knee Length Dress In Chiffon","Tier 3","['Active', 'Retired']"
"active_but_retired","V0625049","Vivo Iyana Cape Top","Tier 3","['Active', 'Retired']"
"active_but_retired","V1125001","Vivo Jersey Drop Shoulder Top","Tier 3","['Active', 'Retired']"
"active_but_retired","VE0043B","Vivo Strappy Sun Dress","Tier 3","['Retired']"
"active_but_retired","V0126025","Vivo Boat Neck Dress in Ponte","Tier 4","['Retired']"
"active_but_retired","V1225011","Vivo Studio Longline Shorts in Crepe","Tier 4","['Retired']"
"active_but_retired","V0925053","Vivo Studio 2-piece in Mixed Media","Tier 4","['Retired']"
"active_but_retired","V0825012","Vivo Nora Front Slit Knee Length Skirt","Tier 4","['Retired']"
